osm_key,osm_value,resistance,priority
landuse,forest,1,1
natural,wood,1,1
landuse,meadow,3,1
natural,grassland,3,1
landuse,orchard,8,1
landuse,farmland,10,1
waterway,stream,100,2
highway,path,5,3
highway,footway,5,3
highway,track,10,3
waterway,river,800,3
highway,residential,100,4
highway,unclassified,100,4
highway,tertiary,150,4
natural,water,800,4
highway,secondary,250,5
highway,primary,500,5
highway,motorway,1000,5
highway,trunk,1000,5
highway,motorway_link,1000,5
railway,rail,1000,5
barrier,fence,500,6
landuse,residential,2000,6
landuse,industrial,4000,6
building,yes,5000,7

